Sum of average_time,Column Labels,,,,,,
Row Labels,1,2,4,6,8,16,Grand Total
10000000,4.3586,2.1482,1.153,0.818,0.7552,0.672,9.905
20000000,11.4918,6.2016,2.9944,2.1876,1.8646,1.764,26.504
50000000,44.3214,24.6474,12.0004,8.6828,7.3448,6.6742,103.671
100000000,120.764,77.212,42.622,24.6318,19.6338,18.4624,303.326
Grand Total,180.9358,110.2092,58.7698,36.3202,29.5984,27.5726,443.406
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,1,2,4,6,8,16,
10000000,4.3586,2.1482,1.153,0.818,0.7552,0.672,
20000000,11.4918,6.2016,2.9944,2.1876,1.8646,1.764,
50000000,44.3214,24.6474,12.0004,8.6828,7.3448,6.6742,
100000000,120.764,77.212,42.622,24.6318,19.6338,18.4624,
